day_index,calendar,rp_au,rp_km,r1_au,r1_km,earth_speed_km_s,earth_radial_speed_km_s,semi_major_axis_au,eccentricity,transfer_aphelion_speed_km_s,transfer_perihelion_speed_km_s,half_period_days,v_inf_no_moon_km_s,no_moon_launch_km_s,no_moon_residual_km_s,no_moon_reentry_km_s,no_moon_total_km_s,flyby_periapsis_radius_km,flyby_periapsis_altitude_km,flyby_side,flyby_turning_angle_deg,flyby_raw_delta_v_km_s,flyby_useful_delta_v_km_s,flyby_v_inf_after_km_s,flyby_launch_km_s,flyby_residual_km_s,flyby_reentry_km_s,flyby_total_km_s,saving_km_s,saving_percent
21,2026-01-22,0.2,29919574.14,0.9841978055894665,147233896.06379673,30.269472736887664,0.1510841138341314,0.5920989027947333,0.6622185937923696,17.448969538539224,85.86618764813873,83.20699076025359,12.82050319834844,17.010435519456788,0.0,0.0,17.010435519456788,1837.4,100.0,leading,1.8306597240100009,0.4096109824335588,0.4096109824335588,12.410892215914881,16.70388756840129,0.008192219648671176,0.0,16.71207978804996,0.29835573140682925,1.7539570404624005
22,2026-01-23,0.2,29919574.14,0.9842869492487882,147247231.76541767,30.264783490467227,0.1576568644270469,0.5921434746243942,0.6622440192778225,17.44752268038664,85.86684435513399,83.2163863804677,12.817260810080587,17.007991914872317,0.0,0.0,17.007991914872317,1837.4,100.0,leading,1.8315713191832208,0.40971129007044826,0.40971129007044826,12.40754952001014,16.701404114452124,0.008194225801408965,0.0,16.70959834025353,0.29839357461878535,1.7544315408444
23,2026-01-24,0.2,29919574.14,0.9843799746894196,147261148.17325705,30.25953962750769,0.16454190527595014,0.5921899873447097,0.6622705478409561,17.44601307537148,85.8675295478273,83.22619151219506,12.81352655213621,17.005177946879417,0.0,0.0,17.005177946879417,1837.4,100.0,leading,1.8326220426025137,0.40982687420661523,0.40982687420661523,12.403699677929595,16.698544248017704,0.008196537484132304,0.0,16.706740785501836,0.29843716137758136,1.7549781737646968
24,2026-01-25,0.2,29919574.14,0.9844770880433573,147275676.12422267,30.253831909584644,0.17182632401055373,0.5922385440216787,0.6622982377305737,17.444437412080248,85.86824472999677,83.23642793181013,12.809394497504396,17.002064630374463,0.0,0.0,17.002064630374463,1837.4,100.0,leading,1.8337857441843286,0.4099548458245861,0.4099548458245861,12.39943965167981,16.69538013878043,0.008199096916491722,0.0,16.70357923569692,0.29848539467754165,1.7555832257236141
25,2026-01-26,0.2,29919574.14,0.9845785413798884,147290853.32734314,30.247776664322924,0.1795809834064227,0.5922892706899443,0.6623271602286082,17.442791637854203,85.86899174195901,83.24712226381875,12.80498502646872,16.998742772064723,0.0,0.0,16.998742772064723,1837.4,100.0,leading,1.8350287903735878,0.41009149582658055,0.41009149582658055,12.39489353064214,16.69200407197077,0.008201829916531612,0.0,16.7002059018873,0.29853687017742203,1.7562291175323241
26,2026-01-27,0.2,29919574.14,0.984684621300874,147306722.6576466,30.241512964149024,0.18785332710546007,0.592342310650437,0.6623573963838836,17.441071144737844,85.86977267618892,83.25830478005919,12.80044181941118,16.995320681730753,0.0,0.0,16.995320681730753,1837.4,100.0,leading,1.836310852635568,0.41023238401080553,0.41023238401080553,12.390209435400374,16.68852612293305,0.008204647680216112,0.0,16.696730770613268,0.29858991111748523,1.756894834226086
27,2026-01-28,0.2,29919574.14,0.9847956331230745,147323329.78987032,30.235197298660058,0.19665933255986534,0.5923978165615372,0.6623890324902567,17.439271026861057,85.87058976051263,83.27000773350353,12.795926271799,16.991919946140587,0.0,0.0,16.991919946140587,1837.4,100.0,leading,1.8375864342731607,0.41037250876877507,0.41037250876877507,12.385553763030225,16.685069862594123,0.008207450175375502,0.0,16.6932773127695,0.2986426333710881,1.7575567347168408
28,2026-01-29,0.2,29919574.14,0.9849118803486729,147340720.12729463,30.228994247057173,0.20597551592375654,0.5924559401743366,0.6624221542261051,17.437386413966664,85.87144520673152,83.28226319495803,12.79160783309051,16.988668142568358,0.0,0.0,16.988668142568358,1837.4,100.0,leading,1.83880757239249,0.4105066049625783,0.4105066049625783,12.381101228127932,16.681764952303023,0.008210132099251565,0.0,16.689975084402274,0.2986930581660836,1.7581899632123075
29,2026-01-30,0.2,29919574.14,0.9850336400858282,147358935.12471005,30.223062224165798,0.21573343368982545,0.5925168200429142,0.6624568396463164,17.43541287019105,85.87234102961793,83.29510046219755,12.787649353974746,16.985687807767608,0.0,0.0,16.985687807767608,1837.4,100.0,leading,1.839927987493801,0.41062959937512356,0.41062959937512356,12.377019754599623,16.67873593257246,0.00821259198750247,0.0,16.686948524559963,0.2987392832076452,1.7587705990394502
30,2026-01-31,0.2,29919574.14,0.9851611368550411,147378008.36990544,30.217535397650177,0.2258201860368305,0.5925805684275206,0.6624931517232794,17.43334681845252,85.87327885427449,83.30854329809837,12.784188579197657,16.98308252147478,0.0,0.0,16.98308252147478,1837.4,100.0,leading,1.8409083661700636,0.41073718891717675,0.41073718891717675,12.373451390280481,16.676088078754216,0.008214743778343536,0.0,16.68430282253256,0.2987796989422229,1.7592783793190765
31,2026-02-01,0.2,29919574.14,0.9852945191375099,147397962.07535186,30.212505736547623,0.23608767265904532,0.592647259568755,0.6625311316793537,17.431185919743033,85.87425974394867,83.32260745690212,12.78131981680459,16.980923136336735,0.0,0.0,16.980923136336735,1837.4,100.0,leading,1.8417216287125933,0.41082641582480495,0.41082641582480495,12.370493400979786,16.673893405153425,0.0082165283164961,0.0,16.68210993346992,0.298813202866814,1.7596994018976313
32,2026-02-02,0.2,29919574.14,0.9854338438116723,147418804.74994254,30.208010968370612,0.24637024455897272,0.5927169219058361,0.6625707945760766,17.42892932395705,85.87528408614486,83.337299041247,12.779081644413562,16.979238557053204,0.0,0.0,16.979238557053204,1837.4,100.0,leading,1.8423564982309832,0.4108960560010904,0.4108960560010904,12.368185588412471,16.672181292564822,0.008217921120021808,0.0,16.680399213684844,0.2988393433683605,1.760027944505333
33,2026-02-03,0.2,29919574.14,0.9855790722294134,147440530.61200175,30.204033045434496,0.25650634230346125,0.5927895361147067,0.6626121282253886,17.42657773166538,85.87635156454257,83.35261408580152,12.777455313769117,16.978014565846653,0.0,0.0,16.978014565846653,1837.4,100.0,leading,1.8428180204287228,0.41094667343215613,0.41094667343215613,12.366508640336962,16.67093729381354,0.008218933468643122,0.0,16.679156227282185,0.2988583385644681,1.7602667108417853
34,2026-02-04,0.2,29919574.14,0.9857300783481285,147463120.8058242,30.200507603504356,0.26635750694808275,0.5928650391740643,0.6626550955363716,17.42413326040687,85.87746121964547,83.36853941184899,12.776374343097487,16.977201054876335,0.0,0.0,16.977201054876335,1837.4,100.0,leading,1.8431248751067961,0.4109803240230298,0.4109803240230298,12.365394019074458,16.670110484027898,0.008219606480460596,0.0,16.678330090508357,0.29887096436797833,1.7604254282076377
35,2026-02-05,0.2,29919574.14,0.9858866657384007,147486545.94598737,30.197340408007342,0.27581951410521177,0.5929433328692004,0.662699639386756,17.42159916734698,85.87861157463304,83.38505441796916,12.775741240660363,16.97672461198109,0.0,0.0,16.97672461198109,1837.4,100.0,leading,1.8433046290221975,0.41100003500179816,0.41100003500179816,12.364741205658564,16.66962625212831,0.008220000700035963,0.0,16.677846252828346,0.2988783591527451,1.760518391997805
36,2026-02-06,0.2,29919574.14,0.986048588309159,147510769.21779108,30.1944248068354,0.28482422695771037,0.5930242941545795,0.6627456885470069,17.418979512085176,85.87980078838875,83.40213326324981,12.775445294750224,16.976501900623997,0.0,0.0,16.976501900623997,1837.4,100.0,leading,1.8433886645786601,0.41100924960392804,0.41100924960392804,12.364436045146295,16.669399899733868,0.00822018499207856,0.0,16.677620084725948,0.2988818158980493,1.7605618498299902
37,2026-02-07,0.2,29919574.14,0.9862155698939866,147535749.30732742,30.191655401666978,0.293334366518048,0.5931077849469933,0.6627931632732249,17.41627883834722,85.8810267999659,83.41974693105216,12.775376563319757,16.976450177741935,0.0,0.0,16.976450177741935,1837.4,100.0,leading,1.8434081820845916,0.41101138969088474,0.41101138969088474,12.364365173628872,16.669347331241887,0.008220227793817696,0.0,16.677567559035705,0.2988826187062301,1.7605719427616227
38,2026-02-08,0.2,29919574.14,0.9863873196673393,147561442.70771417,30.188935916579275,0.301334930858102,0.5931936598336697,0.6628419797067965,17.41350192360383,85.88228744222816,83.43786485361076,12.775433992975444,16.97649339562228,0.0,0.0,16.97649339562228,1837.4,100.0,leading,1.843391873896422,0.4110096015051937,0.4110096015051937,12.36442439147025,16.669391255685344,0.008220192030103875,0.0,16.67761144771545,0.29888194790683187,1.7605635094459753
39,2026-02-09,0.2,29919574.14,0.9865635424570919,147587805.26182997,30.18618165125262,0.308824549189031,0.5932817712285459,0.6628920528169147,17.41065361161729,85.88358051785256,83.45645599884872,12.775528039635333,16.976564169296537,0.0,0.0,16.976564169296537,1837.4,100.0,leading,1.8433651681133072,0.4110066732098245,0.4110066732098245,12.364521366425508,16.66946318642347,0.00822013346419649,0.0,16.677683319887667,0.29888084940887083,1.7605496991518492
40,2026-02-10,0.2,29919574.14,0.9867439445541435,147614793.0314187,30.183318098467513,0.31580875228912475,0.5933719722770718,0.6629432980588925,17.40773871806631,85.88490384216317,83.47548948257689,12.775579380401204,16.9766028052631,0.0,0.0,16.9766028052631,1837.4,100.0,leading,1.8433505894727353,0.4110050746490706,0.4110050746490706,12.364574305752134,16.669502454038643,0.008220101492981411,0.0,16.677722555531624,0.2988802497314751,1.7605421600534592
41,2026-02-11,0.2,29919574.14,0.986928236399056,147642362.699005,30.18027747119515,0.32229594246610455,0.5934641181995279,0.6629956321424,17.404761986817583,85.88625526297605,83.49493485147572,12.775515484377568,16.97655472097638,0.0,0.0,16.97655472097638,1837.4,100.0,leading,1.8433687333101076,0.411007064135777,0.411007064135777,12.36450842024179,16.669453583635086,0.00822014128271554,0.0,16.677673724917803,0.2988809960585783,1.7605515428244007
42,2026-02-12,0.2,29919574.14,0.9871161337450661,147670471.7418783,30.176994579884596,0.3282961210928771,0.5935580668725331,0.6630489733653133,17.401728070915397,85.88763266922494,83.51476220547197,12.7752665089692,16.976367358122424,0.0,0.0,16.976367358122424,1837.4,100.0,leading,1.843439434607004,0.41101481649306,0.41101481649306,12.36425169247614,16.669263157609382,0.0082202963298612,0.0,16.677483453939242,0.29888390418318167,1.7605881039101057
